Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,TRADE_OFF,100,6637.5,0.0941,0.0375,0,70500,70500,0,0,0,0,0,48600,48600,21900,21900,0,0,80.65846153841275,362.06399999997416,80.65846153841275,58364.9999999426,0.0,0.0,1093.1914893617022,0.077,1.4979,2.1703,0,303549.0975,2918.7413,43.7412,43.7412,153.3125,51.1042,303352.0438,3033.5204,34.8507,0,8.7198,43.5705,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,200,13275,0.0941,60.4875,0.0004,141000,141000,0,0,0,0,0,92100,92100,48900,48900,0,0,280.04307692327285,569.7840000002282,280.04307692327285,116730.00000025352,0.0,0.0,1104.0425531914893,0.1662,2.0543,10.6181,0,606923.7926,2975.1166,59.9862,59.9862,159.7188,53.2396,606704.0877,3033.5204,54.8433,0,30.2955,85.1388,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,300,19912.5,0.0941,408.325,0.0019,211500,211031,0,469,0,0,0,142209,142209,69291,68822,0,0,377.0562461543846,910.5868800022076,377.0562461543846,175094.99999952823,0.0,0.0,1098.2851063829787,0.141,3.5017,13.1248,0,910320.0053,2994.4737,102.2542,102.2542,161.6196,53.8732,910056.1315,3033.5204,87.613,0,40.8205,128.4335,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,100,1417.5,0.0583,0.2375,0,70500,24300,46200,0,0,0,0,0,0,24300,24300,0,0,97.97538461531634,0.0,97.97538461531634,15921.000000006385,0.0,0.0,1300.0,0.0749,0,2.5962,0,303492.0705,2918.193,0,0,153.6354,51.2118,303338.4351,3033.3844,0,0,10.6063,10.6063,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,200,4837.5,0.0896,156.4625,0.0029,141000,53637,87000,363,0,0,0,0,0,54000,53637,0,0,276.92307692328,0.0,276.92307692328,44999.99999997763,0.0,0.0,1300.0,0.1303,0,8.8599,0,606839.4547,2974.7032,0,0,158.3854,52.7951,606681.0692,3033.4053,0,0,29.9954,29.9954,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,300,7545,0.1089,370.5375,0.0053,211500,67932,142200,1368,0,0,0,0,0,69300,67932,0,0,354.88615384669083,0.0,354.88615384669083,57668.999999936816,0.0,0.0,1300.0,0.1364,0,13.8187,0,910180.7068,2994.0155,0,0,162.1458,54.0486,910018.5609,3033.3952,0,0,38.3366,38.3366,0,0,0,0,0,-1.0,[],[]
