Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_ONLY,ROUND_ROBIN,100,6187.5,0.1964,83.75,0.0027,84000,31500,52500,0,0,0,0,0,0,31500,31500,0,0,325.93846153861574,0.0,325.93846153861574,52965.00000001925,0.0,0.0,1300.0,0.3269,0,11.3324,0,303510.4068,2918.3693,0,0,160.2604,53.4201,303350.1464,3033.5015,0,0,35.4434,35.4434,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,200,12150,0.1893,2317.125,0.0361,168000,64200,103800,0,0,0,0,0,0,64200,64200,0,0,659.0769230768943,0.0,659.0769230768943,107100.00000009492,0.0,0.0,1300.0,0.3272,0,22.2527,0,606869.1809,2974.8489,0,0,168.5417,56.1806,606700.6392,3033.5032,0,0,71.6947,71.6947,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,300,17775,0.1829,6458.375,0.0664,252000,97199,154800,1,0,0,0,0,0,97200,97199,0,0,990.8307692306395,0.0,990.8307692306395,161009.99999996115,0.0,0.0,1300.0,0.3213,0,32.5549,0,910227.3934,2994.1691,0,0,176.3542,58.7847,910051.0392,3033.5035,0,0,107.8169,107.8169,0,0,0,0,0,-1.0,[],[]
