Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,TRADE_OFF,100,6637.5,0.0941,0.2625,0,70500,70500,0,0,0,0,0,41400,41400,29100,29100,0,0,155.16923076919502,265.199999999952,155.16923076919502,58364.99999994221,0.0,0.0,1123.8297872340424,0.1907,0.8757,6.3187,0,303534.073,2918.5969,25.5708,25.5708,156.4583,52.1528,303352.0438,3033.5204,25.5567,0,16.7572,42.3139,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,200,13275,0.0941,144.5,0.001,141000,140882,0,118,0,0,0,87900,87900,53100,52982,0,0,275.2430769232794,576.0240000002293,275.2430769232794,116730.00000025418,0.0,0.0,1112.9787234042553,0.1326,2.4148,8.2143,0,606932.4988,2975.1593,70.5153,70.5153,157.8958,52.6319,606704.0877,3033.5204,55.3784,0,29.8414,85.2197,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,300,19912.5,0.0941,338.75,0.0016,211500,210913,0,587,0,0,0,140655,140655,70845,70258,0,0,399.611076923604,881.2656000023526,399.611076923604,175094.99999952663,0.0,0.0,1100.4893617021276,0.1349,3.6005,12.4667,0,910322.3888,2994.4815,105.1367,105.1367,161.1206,53.7069,910056.1315,3033.5204,84.7162,0,43.3369,128.0531,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,100,2377.5,0.1071,1.35,0.0001,70500,22200,48300,0,0,0,0,0,0,22200,22200,0,0,125.46461538454706,0.0,125.46461538454706,20388.000000003365,0.0,0.0,1300.0,0.1256,0,4.3544,0,303494.8292,2918.2195,0,0,154.9688,51.6563,303339.8604,3033.3986,0,0,13.5882,13.5882,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,200,3600,0.0764,60.1375,0.0013,141000,46946,93900,154,0,0,0,0,0,47100,46946,0,0,206.86153846154934,0.0,206.86153846154934,33615.00000000812,0.0,0.0,1300.0,0.097,0,6.5934,0,606834.1283,2974.6771,0,0,156.6667,52.2222,606677.4616,3033.3873,0,0,22.3704,22.3704,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,300,6210,0.075,405.675,0.0049,211500,78374,128700,4426,0,0,0,0,0,82800,78374,0,0,367.6430769238148,0.0,367.6430769238148,59741.9999999178,0.0,0.0,1300.0,0.1122,0,11.3736,0,910179.4575,2994.0114,0,0,160.2917,53.4306,910019.1658,3033.3972,0,0,39.777,39.777,0,0,0,0,0,-1.0,[],[]
