Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,TRADE_OFF,100,6637.5,0.0941,15.8375,0.0002,70500,70500,0,0,0,0,0,41700,41700,28800,28800,0,0,157.62461538458734,262.0079999999033,157.62461538458734,58364.99999994242,0.0,0.0,1122.5531914893618,0.1271,1.2239,3.9973,0,303542.4807,2918.6777,35.739,35.739,154.6979,51.566,303352.0438,3033.5204,25.1447,0,17.1278,42.2725,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,200,13275,0.0941,128.575,0.0009,141000,140877,0,123,0,0,0,89700,89700,51300,51177,0,0,264.9784615386276,589.3680000003015,264.9784615386276,116730.00000025483,0.0,0.0,1109.1489361702127,0.1207,2.5426,7.3626,0,606935.5833,2975.1744,74.2457,74.2457,157.25,52.4167,606704.0877,3033.5204,56.6425,0,28.7503,85.3928,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,300,19912.5,0.0941,364.7875,0.0017,211500,211127,0,373,0,0,0,143928,143928,67572,67199,0,0,366.81156923126116,923.9049600023543,366.81156923126116,175094.99999952447,0.0,0.0,1095.8468085106383,0.1331,3.6292,12.275,0,910323.0831,2994.4838,105.9764,105.9764,160.9752,53.6584,910056.1315,3033.5204,88.8751,0,39.7311,128.6062,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,100,2632.5,0.0997,3.3125,0.0001,70500,26400,44100,0,0,0,0,0,0,26400,26400,0,0,143.22461538456352,0.0,143.22461538456352,23274.000000004144,0.0,0.0,1300.0,0.1391,0,4.8214,0,303496.1068,2918.2318,0,0,155.3229,51.7743,303340.7839,3033.4078,0,0,15.5121,15.5121,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,200,4147.5,0.0777,108.0125,0.002,141000,53313,87600,87,0,0,0,0,0,53400,53313,0,0,273.8584615386623,0.0,273.8584615386623,44501.99999998104,0.0,0.0,1300.0,0.1117,0,7.5962,0,606838.2882,2974.6975,0,0,157.4271,52.4757,606680.8611,3033.4043,0,0,29.7122,29.7122,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,300,6157.5,0.0814,341.5,0.0045,211500,71605,135900,3995,0,0,0,0,0,75600,71605,0,0,342.2400000005736,0.0,342.2400000005736,55613.99999993216,0.0,0.0,1300.0,0.1113,0,11.2775,0,910178.0809,2994.0068,0,0,160.2188,53.4063,910017.8622,3033.3929,0,0,37.0078,37.0078,0,0,0,0,0,-1.0,[],[]
