Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,TRADE_OFF,100,6637.5,0.0941,257.3125,0.0036,70500,70466,0,34,0,0,0,21561,21561,48939,48905,0,0,286.9572923079083,93.87551999995107,286.9572923079083,58364.999999942105,0.0,0.0,1208.2510638297872,0.2965,0.2966,10.1795,0,303520.09,2918.4624,8.6601,8.6601,159.3861,53.1287,303352.0438,3033.5204,9.0123,0,31.0792,40.0915,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,200,13275,0.0941,2036.95,0.0144,141000,140746,0,254,0,0,0,70084,70084,70916,70662,0,0,504.36086153890284,278.1708799996553,504.36086153890284,116730.00000025558,0.0,0.0,1150.8851063829786,0.2494,1.1617,16.5686,0,606902.2412,2975.011,33.9224,33.9224,164.2312,54.7437,606704.0877,3033.5204,26.5921,0,54.7638,81.3559,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,300,19912.5,0.0941,6020.1625,0.0285,211500,211052,0,448,0,0,0,118104,118104,93396,92948,0,0,761.1743999999001,411.2332799993606,761.1743999999001,175094.99999952802,0.0,0.0,1132.476595744681,0.2637,1.5388,26.211,0,910272.6097,2994.3178,44.9349,44.9349,171.5433,57.1811,910056.1315,3033.5204,39.2823,0,82.6735,121.9557,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,100,6637.5,0.0941,859.65,0.0122,70500,66985,0,3515,0,0,0,0,0,70500,66985,0,0,359.169230769791,0.0,359.169230769791,58364.99999994269,0.0,0.0,1300.0,0.3507,0,12.1566,0,303512.9292,2918.3936,0,0,160.8854,53.6285,303352.0438,3033.5204,0,0,38.8737,38.8737,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,200,13050,0.0938,6516,0.0468,141000,101856,1800,37344,0,0,0,0,0,139200,101856,0,0,701.1692307692389,0.0,701.1692307692389,113940.00000023928,0.0,0.0,1300.0,0.3515,0,23.9011,0,606873.0006,2974.8677,0,0,169.7917,56.5972,606703.209,3033.516,0,0,75.8734,75.8734,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,300,19665,0.0946,21141.0875,0.1017,211500,122979,3600,84921,0,0,0,0,0,207900,122979,0,0,1059.8953846126665,0.0,1059.8953846126665,172232.99999958076,0.0,0.0,1300.0,0.3554,0,36.0165,0,910234.1983,2994.1914,0,0,178.9792,59.6597,910055.2192,3033.5174,0,0,114.7097,114.7097,0,0,0,0,0,-1.0,[],[]
