Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,TRADE_OFF,100,6637.5,0.0941,174.5625,0.0025,70500,70447,0,53,0,0,0,24460,24460,46040,45987,0,0,248.4160000001209,143.9791999999117,248.4160000001209,58364.99999994221,0.0,0.0,1195.9148936170213,0.223,0.699,7.4963,0,303529.8078,2918.5558,20.4125,20.4125,157.3514,52.4505,303352.0438,3033.5204,13.8017,0,26.9397,40.7414,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,200,13275,0.0941,2240.025,0.0159,141000,140768,0,232,0,0,0,66905,66905,74095,73863,0,0,523.3280000004559,253.51359999967556,523.3280000004559,116730.00000025444,0.0,0.0,1157.6489361702127,0.2643,1.0014,17.6372,0,606898.3707,2974.992,29.2415,29.2415,165.0416,55.0139,606704.0877,3033.5204,24.2342,0,56.8019,81.0361,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,300,19912.5,0.0941,6627.0875,0.0313,211500,211053,0,447,0,0,0,116182,116182,95318,94871,0,0,778.9502153844691,388.12471999935883,778.9502153844691,175094.99999952497,0.0,0.0,1135.2028368794327,0.2622,1.5636,26.046,0,910273.2073,2994.3198,45.6576,45.6576,171.4182,57.1394,910056.1315,3033.5204,37.0179,0,84.6381,121.656,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,100,6637.5,0.0941,971.3375,0.0138,70500,67005,0,3495,0,0,0,0,0,70500,67005,0,0,359.16923076979225,0.0,359.16923076979225,58364.999999942374,0.0,0.0,1300.0,0.3507,0,12.1566,0,303512.9292,2918.3936,0,0,160.8854,53.6285,303352.0438,3033.5204,0,0,38.8737,38.8737,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,200,13275,0.0941,7147.8875,0.0507,141000,103030,0,37970,0,0,0,0,0,141000,103030,0,0,718.3384615383501,0.0,718.3384615383501,116730.00000025483,0.0,0.0,1300.0,0.3575,0,24.3132,0,606874.1918,2974.8735,0,0,170.1042,56.7014,606704.0877,3033.5204,0,0,77.7474,77.7474,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,300,19680,0.0941,20334.875,0.0972,211500,127282,2400,81818,0,0,0,0,0,209100,127282,0,0,1060.190769228018,0.0,1060.190769228018,172280.9999995773,0.0,0.0,1300.0,0.3557,0,36.044,0,910234.2416,2994.1916,0,0,179,59.6667,910055.2416,3033.5175,0,0,114.7347,114.7347,0,0,0,0,0,-1.0,[],[]
