Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
CLOUD_ONLY,ROUND_ROBIN,100,18000,0.2143,0,0,84000,84000,0,0,0,0,0,84000,84000,0,0,0,0,0.0,1151.999999997871,0.0,144000.0000000491,0.0,0.0,1000.0,0.0475,4.9451,0,0,303675.192,2919.9538,144.4,144.4,151.6667,50.5556,303379.1253,3033.7913,111.2256,0,0,111.2256,0,0,0,0,0,-1.0,[],[]
CLOUD_ONLY,ROUND_ROBIN,200,36000,0.2143,0,0,168000,168000,0,0,0,0,0,168000,168000,0,0,0,0,0.0,2303.9999999906363,0.0,287999.9999993507,0.0,0.0,1000.0,0.0485,9.8901,0,0,607198.7173,2976.4643,288.8,288.8,151.6667,50.5556,606758.2507,3033.7913,222.4512,0,0,222.4512,0,0,0,0,0,-1.0,[],[]
CLOUD_ONLY,ROUND_ROBIN,300,54000,0.2143,0,0,252000,252000,0,0,0,0,0,252000,252000,0,0,0,0,0.0,3455.9999999961315,0.0,431999.999998652,0.0,0.0,1000.0,0.0485,14.7492,0,0,910722.2427,2995.7969,433.2,433.2,151.6667,50.5556,910137.376,3033.7913,333.6768,0,0,333.6768,0,0,0,0,0,-1.0,[],[]
