Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,100,18000,0.2143,101,0.0012,84000,84000,0,0,0,0,0,47400,47400,36600,36600,0,0,378.83076923087975,659.5199999999322,378.83076923087975,144000.0000000495,0.0,0.0,1130.7142857142858,0.4089,2.967,13.1868,0,303627.432,2919.4945,86.64,86.64,161.6667,53.8889,303379.1253,3033.7913,63.6426,0,41.1945,104.837,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,200,36000,0.2143,1383.375,0.0082,168000,168000,0,0,0,0,0,107400,107400,60600,60600,0,0,650.2153846153653,1458.7199999948068,650.2153846153653,287999.99999935075,0.0,0.0,1108.2142857142858,0.4054,6.0577,25.5495,0,607106.1823,2976.0107,176.89,176.89,171.0417,57.0139,606758.2507,3033.7913,140.8906,0,70.5955,211.486,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,300,54000,0.2143,6375.125,0.0253,252000,251917,0,83,0,0,0,160800,160800,91200,91117,0,0,942.09230769222,2231.279999990679,942.09230769222,431999.999998651,0.0,0.0,1108.5714285714287,0.354,9.9519,32.5549,0,910604.3352,2995.409,290.605,290.605,176.3542,58.7847,910137.376,3033.7913,215.3363,0,102.4532,317.7895,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,100,5962.5,0.2516,19.625,0.0008,84000,23700,60300,0,0,0,0,0,0,23700,23700,0,0,260.03076923095864,0.0,260.03076923095864,42255.000000003565,0.0,0.0,1300.0,0.315,0,10.9203,0,303506.7652,2918.3343,0,0,159.9479,53.316,303346.8173,3033.4682,0,0,28.2057,28.2057,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,200,13725,0.2221,1629.625,0.0264,168000,61800,106200,0,0,0,0,0,0,61800,61800,0,0,657.4153846153647,0.0,657.4153846153647,106830.00000007913,0.0,0.0,1300.0,0.3697,0,25.1374,0,606871.3934,2974.8598,0,0,170.7292,56.9097,606700.6642,3033.5033,0,0,71.4033,71.4033,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,300,20700,0.2285,5039.75,0.0556,252000,90600,161400,0,0,0,0,0,0,90600,90600,0,0,970.3384615384472,0.0,970.3384615384472,157679.99999998428,0.0,0.0,1300.0,0.3741,0,37.9121,0,910230.6271,2994.1797,0,0,180.4167,60.1389,910050.2104,3033.5007,0,0,105.3601,105.3601,0,0,0,0,0,-1.0,[],[]
