Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_ONLY,ROUND_ROBIN,100,4500,0.1875,3.75,0.0002,84000,24000,60000,0,0,0,0,0,0,24000,24000,0,0,245.90769230788842,0.0,245.90769230788842,39960.000000001965,0.0,0.0,1300.0,0.2377,0,8.2418,0,303503.9232,2918.307,0,0,157.9167,52.6389,303346.0065,3033.4601,0,0,26.7522,26.7522,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,200,15862.5,0.2605,1697.375,0.0279,168000,60900,107100,0,0,0,0,0,0,60900,60900,0,0,674.3076923076848,0.0,674.3076923076848,109575.00000006519,0.0,0.0,1300.0,0.4272,0,29.0522,0,606875.3586,2974.8792,0,0,173.6979,57.8993,606701.6607,3033.5083,0,0,73.1151,73.1151,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,300,20137.5,0.2186,5478.625,0.0595,252000,92100,159900,0,0,0,0,0,0,92100,92100,0,0,976.1538461538099,0.0,976.1538461538099,158624.999999979,0.0,0.0,1300.0,0.364,0,36.8819,0,910230.0995,2994.178,0,0,179.6354,59.8785,910050.4641,3033.5015,0,0,106.0389,106.0389,0,0,0,0,0,-1.0,[],[]
CLOUD_ONLY,ROUND_ROBIN,100,18000,0.2143,0,0,84000,84000,0,0,0,0,0,84000,84000,0,0,0,0,0.0,1151.9999999978736,0.0,144000.00000004948,0.0,0.0,1000.0,0.0475,4.9451,0,0,303675.192,2919.9538,144.4,144.4,151.6667,50.5556,303379.1253,3033.7913,111.2256,0,0,111.2256,0,0,0,0,0,-1.0,[],[]
CLOUD_ONLY,ROUND_ROBIN,200,36000,0.2143,0,0,168000,168000,0,0,0,0,0,168000,168000,0,0,0,0,0.0,2303.9999999906386,0.0,287999.99999935075,0.0,0.0,1000.0,0.0485,9.8901,0,0,607198.7173,2976.4643,288.8,288.8,151.6667,50.5556,606758.2507,3033.7913,222.4512,0,0,222.4512,0,0,0,0,0,-1.0,[],[]
CLOUD_ONLY,ROUND_ROBIN,300,54000,0.2143,0,0,252000,252000,0,0,0,0,0,252000,252000,0,0,0,0,0.0,3455.999999996135,0.0,431999.9999986512,0.0,0.0,1000.0,0.0485,14.7492,0,0,910722.2427,2995.7969,433.2,433.2,151.6667,50.5556,910137.376,3033.7913,333.6768,0,0,333.6768,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,100,18000,0.2143,11.375,0.0001,84000,84000,0,0,0,0,0,53400,53400,30600,30600,0,0,317.3538461540074,739.4399999997547,317.3538461540074,144000.0000000496,0.0,0.0,1109.2857142857142,0.3525,3.2761,11.1264,0,303634.8945,2919.5663,95.665,95.665,160.1042,53.3681,303379.1253,3033.7913,71.3674,0,34.5064,105.8738,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,200,36000,0.2143,2082.375,0.0124,168000,168000,0,0,0,0,0,105600,105600,62400,62400,0,0,654.6461538461296,1452.9599999950901,654.6461538461296,287999.99999935087,0.0,0.0,1111.4285714285713,0.3824,6.3049,23.9011,0,607112.1523,2976.04,184.11,184.11,169.7917,56.5972,606758.2507,3033.7913,140.2662,0,71.1451,211.4113,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,300,54000,0.2143,4726.875,0.0188,252000,252000,0,0,0,0,0,164400,164400,87600,87600,0,0,920.4923076922539,2259.3599999904964,920.4923076922539,431999.99999865115,0.0,0.0,1104.2857142857142,0.3656,9.7665,33.7912,0,910599.8577,2995.3943,285.19,285.19,177.2917,59.0972,910137.376,3033.7913,218.1242,0,100.0296,318.1537,0,0,0,0,0,-1.0,[],[]
