Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_ONLY,ROUND_ROBIN,100,5512.5,0.2386,0.125,0,84000,23100,60900,0,0,0,0,0,0,23100,23100,0,0,250.0615384617256,0.0,250.0615384617256,40635.00000000224,0.0,0.0,1300.0,0.2912,0,10.0962,0,303505.608,2918.3232,0,0,159.3229,53.1076,303346.2851,3033.4629,0,0,27.1396,27.1396,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,200,13275,0.1975,1938.375,0.0288,168000,67200,100800,0,0,0,0,0,0,67200,67200,0,0,696.1846153845808,0.0,696.1846153845808,113130.00000009907,0.0,0.0,1300.0,0.3575,0,24.3132,0,606872.6865,2974.8661,0,0,170.1042,56.7014,606702.5823,3033.5129,0,0,75.7009,75.7009,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,300,16650,0.2026,3712.125,0.0452,252000,82200,169800,0,0,0,0,0,0,82200,82200,0,0,856.2461538460975,0.0,856.2461538460975,139140.00000007803,0.0,0.0,1300.0,0.3009,0,30.4945,0,910218.987,2994.1414,0,0,174.7917,58.2639,910044.1954,3033.4807,0,0,93.0833,93.0833,0,0,0,0,0,-1.0,[],[]
