Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,TRADE_OFF,100,6637.5,0.0941,6.4125,0.0001,70500,70500,0,0,0,0,0,39600,39600,30900,30900,0,0,169.42153846152829,246.6719999999217,169.42153846152829,58364.99999994242,0.0,0.0,1131.4893617021276,0.1677,1.0014,5.4808,0,303537.1077,2918.626,29.241,29.241,155.8229,51.941,303352.0438,3033.5204,23.7131,0,18.3605,42.0736,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,200,13275,0.0941,39.85,0.0003,141000,140980,0,20,0,0,0,100500,100500,40500,40480,0,0,195.41538461540026,679.8000000007569,195.41538461540026,116730.00000025422,0.0,0.0,1086.1702127659576,0.0966,2.8022,5.6319,0,606941.8518,2975.2052,81.8267,81.8267,155.9375,51.9792,606704.0877,3033.5204,65.3864,0,21.1795,86.5659,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,300,19912.5,0.0941,441.575,0.0021,211500,210962,0,538,0,0,0,136837,136837,74663,74125,0,0,418.7355076929383,856.4038400020953,418.7355076929383,175094.99999952686,0.0,0.0,1105.904964539007,0.145,3.438,13.55,0,910318.4653,2994.4686,100.3918,100.3918,161.9421,53.9807,910056.1315,3033.5204,82.3424,0,45.3882,127.7306,0,0,0,0,0,-1.0,[],[]
