Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,TRADE_OFF,100,6637.5,0.0941,271.7375,0.0039,70500,70460,0,40,0,0,0,20524,20524,49976,49936,0,0,287.21255384636794,93.54367999995641,287.21255384636794,58364.99999994229,0.0,0.0,1212.6638297872341,0.2971,0.293,10.2032,0,303520.004,2918.4616,8.5561,8.5561,159.4041,53.1347,303352.0438,3033.5204,8.9864,0,31.1008,40.0872,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,200,13275,0.0941,2373.9,0.0168,141000,140775,0,225,0,0,0,66270,66270,74730,74505,0,0,519.1089230774087,258.9983999996556,519.1089230774087,116730.00000025453,0.0,0.0,1159.0,0.2383,1.2805,15.7768,0,606905.109,2975.025,37.3906,37.3906,163.6307,54.5436,606704.0877,3033.5204,24.6982,0,56.409,81.1072,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,300,19912.5,0.0941,6041.025,0.0286,211500,211059,0,441,0,0,0,116690,116690,94810,94369,0,0,763.1950769229745,408.60639999937774,763.1950769229745,175094.99999952546,0.0,0.0,1134.4822695035461,0.2644,1.5284,26.2804,0,910272.3581,2994.317,44.6306,44.6306,171.596,57.1987,910056.1315,3033.5204,39.0351,0,82.8865,121.9217,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,100,6637.5,0.0941,942.2125,0.0134,70500,66553,0,3947,0,0,0,0,0,70500,66553,0,0,359.16923076979083,0.0,359.16923076979083,58364.99999994229,0.0,0.0,1300.0,0.3507,0,12.1566,0,303512.9292,2918.3936,0,0,160.8854,53.6285,303352.0438,3033.5204,0,0,38.8737,38.8737,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,200,13140,0.095,6678.9125,0.0483,141000,102277,2700,36023,0,0,0,0,0,138300,102277,0,0,709.3107692307229,0.0,709.3107692307229,115263.00000024357,0.0,0.0,1300.0,0.3539,0,24.0659,0,606873.5314,2974.8703,0,0,169.9167,56.6389,606703.6147,3033.5181,0,0,76.773,76.773,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,300,19860,0.0958,21368.0625,0.1031,211500,127510,4200,79790,0,0,0,0,0,207300,127510,0,0,1076.4738461509198,0.0,1076.4738461509198,174926.9999995463,0.0,0.0,1300.0,0.359,0,36.3736,0,910235.303,2994.1951,0,0,179.25,59.75,910056.053,3033.5202,0,0,116.5338,116.5338,0,0,0,0,0,-1.0,[],[]
