Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,TRADE_OFF,100,6637.5,0.0941,1.4625,0,70500,70500,0,0,0,0,0,45300,45300,25200,25200,0,0,116.38153846146008,315.6239999999518,116.38153846146008,58364.999999942316,0.0,0.0,1107.2340425531916,0.1165,1.2816,3.6126,0,303543.8737,2918.6911,37.4237,37.4237,154.4063,51.4688,303352.0438,3033.5204,30.3711,0,12.5969,42.9681,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,200,13275,0.0941,29.15,0.0002,141000,140978,0,22,0,0,0,98700,98700,42300,42278,0,0,208.5969230769482,662.6640000006554,208.5969230769482,116730.00000025495,0.0,0.0,1090.0,0.1259,2.487,7.7335,0,606934.2401,2975.1678,72.6212,72.6212,157.5313,52.5104,606704.0877,3033.5204,63.8023,0,22.5413,86.3437,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,300,19912.5,0.0941,426.3,0.002,211500,210952,0,548,0,0,0,137817,137817,73683,73135,0,0,396.32196923136746,885.541440002076,396.32196923136746,175094.9999995293,0.0,0.0,1104.5148936170212,0.1513,3.3373,14.2212,0,910316.0342,2994.4606,97.4516,97.4516,162.4511,54.1504,910056.1315,3033.5204,85.2248,0,42.8837,128.1086,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,100,2745,0.1005,0.65,0,70500,27300,43200,0,0,0,0,0,0,27300,27300,0,0,151.80923076919447,0.0,151.80923076919447,24669.00000000365,0.0,0.0,1300.0,0.145,0,5.0275,0,303496.7024,2918.2375,0,0,155.4792,51.8264,303341.2233,3033.4122,0,0,16.4491,16.4491,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,200,5865,0.108,110.65,0.002,141000,53794,86700,506,0,0,0,0,0,54300,53794,0,0,281.3723076925126,0.0,281.3723076925126,45722.99999997294,0.0,0.0,1300.0,0.158,0,10.7418,0,606841.1827,2974.7117,0,0,159.8125,53.2708,606681.3702,3033.4069,0,0,30.4078,30.4078,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,300,5790,0.0788,342.0875,0.0047,211500,70902,138000,2598,0,0,0,0,0,73500,70902,0,0,340.26461538516133,0.0,340.26461538516133,55292.99999993939,0.0,0.0,1300.0,0.1046,0,10.6044,0,910177.4328,2994.0047,0,0,159.7083,53.2361,910017.7245,3033.3924,0,0,36.8288,36.8288,0,0,0,0,0,-1.0,[],[]
