Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,ROUND_ROBIN,100,6637.5,0.0941,0.075,0,70500,70500,0,0,0,0,0,45600,45600,24900,24900,0,0,124.67076923068781,304.8479999999331,124.67076923068781,58364.9999999425,0.0,0.0,1105.9574468085107,0.1214,1.2548,3.7912,0,303543.227,2918.6849,36.6415,36.6415,154.5417,51.5139,303352.0438,3033.5204,29.3193,0,13.509,42.8283,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,200,13275,0.0941,47.7,0.0003,141000,140995,0,5,0,0,0,92400,92400,48600,48595,0,0,268.6892307693978,584.5440000003013,268.6892307693978,116730.00000025438,0.0,0.0,1103.404255319149,0.1461,2.2706,9.1758,0,606929.0163,2975.1422,66.3037,66.3037,158.625,52.875,606704.0877,3033.5204,56.23,0,29.1002,85.3303,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,300,19912.5,0.0941,418.325,0.002,211500,211142,0,358,0,0,0,144894,144894,66606,66248,0,0,396.03840000048945,885.9100800022965,396.03840000048945,175094.99999952706,0.0,0.0,1094.476595744681,0.1557,3.2678,14.6842,0,910314.3574,2994.4551,95.4237,95.4237,162.8022,54.2674,910056.1315,3033.5204,85.2414,0,42.872,128.1134,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,100,2677.5,0.0892,9.675,0.0003,70500,30000,40500,0,0,0,0,0,0,30000,30000,0,0,144.11076923070587,0.0,144.11076923070587,23418.000000006683,0.0,0.0,1300.0,0.1415,0,4.9038,0,303496.2366,2918.233,0,0,155.3854,51.7951,303340.8511,3033.4085,0,0,15.5869,15.5869,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,200,5452.5,0.0913,194.0625,0.0033,141000,59554,81300,146,0,0,0,0,0,59700,59554,0,0,296.5107692310596,0.0,296.5107692310596,48182.99999996595,0.0,0.0,1300.0,0.1469,0,9.9863,0,606841.3588,2974.7125,0,0,159.2396,53.0799,606682.1192,3033.4106,0,0,32.0859,32.0859,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,300,7095,0.0889,512.3,0.0064,211500,76904,131700,2896,0,0,0,0,0,79800,76904,0,0,362.91692307760746,0.0,362.91692307760746,58973.99999991684,0.0,0.0,1300.0,0.1282,0,12.9945,0,910180.5035,2994.0148,0,0,161.5208,53.8403,910018.9826,3033.3966,0,0,39.2024,39.2024,0,0,0,0,0,-1.0,[],[]
