Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_ONLY,ROUND_ROBIN,100,6637.5,0.2068,36.625,0.0011,84000,32100,51900,0,0,0,0,0,0,32100,32100,0,0,335.90769230783405,0.0,335.90769230783405,54585.00000002027,0.0,0.0,1300.0,0.3507,0,12.1566,0,303511.564,2918.3804,0,0,160.8854,53.6285,303350.6786,3033.5068,0,0,36.5095,36.5095,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,200,8100,0.1849,219,0.005,168000,43800,124200,0,0,0,0,0,0,43800,43800,0,0,447.50769230775404,0.0,447.50769230775404,72720.00000004844,0.0,0.0,1300.0,0.2182,0,14.8352,0,606852.6401,2974.7678,0,0,162.9167,54.3056,606689.7234,3033.4486,0,0,48.6904,48.6904,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,ROUND_ROBIN,300,21037.5,0.2185,6005.625,0.0624,252000,96300,155700,0,0,0,0,0,0,96300,96300,0,0,1020.4615384614996,0.0,1020.4615384614996,165824.99999994424,0.0,0.0,1300.0,0.3802,0,38.5302,0,910233.6391,2994.1896,0,0,180.8854,60.2951,910052.7537,3033.5092,0,0,110.853,110.853,0,0,0,0,0,-1.0,[],[]
CLOUD_ONLY,ROUND_ROBIN,100,18000,0.2143,0,0,84000,84000,0,0,0,0,0,84000,84000,0,0,0,0,0.0,1151.9999999978725,0.0,144000.00000004872,0.0,0.0,1000.0,0.0475,4.9451,0,0,303675.192,2919.9538,144.4,144.4,151.6667,50.5556,303379.1253,3033.7913,111.2256,0,0,111.2256,0,0,0,0,0,-1.0,[],[]
CLOUD_ONLY,ROUND_ROBIN,200,36000,0.2143,0,0,168000,168000,0,0,0,0,0,168000,168000,0,0,0,0,0.0,2303.9999999906368,0.0,287999.99999935145,0.0,0.0,1000.0,0.0485,9.8901,0,0,607198.7173,2976.4643,288.8,288.8,151.6667,50.5556,606758.2507,3033.7913,222.4512,0,0,222.4512,0,0,0,0,0,-1.0,[],[]
CLOUD_ONLY,ROUND_ROBIN,300,54000,0.2143,0,0,252000,252000,0,0,0,0,0,252000,252000,0,0,0,0,0.0,3455.999999996132,0.0,431999.9999986508,0.0,0.0,1000.0,0.0485,14.7492,0,0,910722.2427,2995.7969,433.2,433.2,151.6667,50.5556,910137.376,3033.7913,333.6768,0,0,333.6768,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,100,18000,0.2143,63.375,0.0008,84000,84000,0,0,0,0,0,54600,54600,29400,29400,0,0,297.4153846155717,765.3599999997126,297.4153846155717,144000.0000000493,0.0,0.0,1105.0,0.3073,3.5234,9.478,0,303640.8645,2919.6237,102.885,102.885,158.8542,52.9514,303379.1253,3033.7913,73.8358,0,32.3742,106.21,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,200,36000,0.2143,1288.375,0.0077,168000,168000,0,0,0,0,0,110100,110100,57900,57900,0,0,611.7230769230575,1508.7599999944914,611.7230769230575,287999.9999993504,0.0,0.0,1103.392857142857,0.368,6.4595,22.8709,0,607115.8836,2976.0583,188.6225,188.6225,169.0104,56.3368,606758.2507,3033.7913,145.675,0,66.4601,212.1352,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,ROUND_ROBIN,300,54000,0.2143,5510.25,0.0219,252000,252000,0,0,0,0,0,162600,162600,89400,89400,0,0,963.1384615384596,2203.919999989756,963.1384615384596,431999.9999986515,0.0,0.0,1106.4285714285713,0.4081,9.0865,38.3242,0,910583.4402,2995.3403,265.335,265.335,180.7292,60.2431,910137.376,3033.7913,212.8823,0,104.5523,317.4345,0,0,0,0,0,-1.0,[],[]
