Orchestration architecture,Orchestration algorithm,Edge devices count,Total tasks execution delay (s),Average execution delay (s),Total tasks waiting time (s),Average waiting time (s),Number of generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average CPU usage (%),Average CPU usage (Cloud) (%),Average CPU usage (Edge) (%),Average CPU usage (Mist) (%),Energy consumption of computing nodes (Wh),Average energy consumption (Wh/Computing node),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Data center),Mist energy consumption (Wh),Average Mist energy consumption (Wh/Device),WAN energy consumption (Wh), MAN energy consumption (Wh), LAN energy consumption (Wh),WiFi energy consumption (Wh), LTE energy consumption (Wh), Ethernet energy consumption (Wh),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
EDGE_AND_CLOUD,TRADE_OFF,100,6637.5,0.0941,2.5125,0,70500,70500,0,0,0,0,0,45300,45300,25200,25200,0,0,136.02461538455512,290.0879999999412,136.02461538455512,58364.99999994252,0.0,0.0,1107.2340425531916,0.161,1.0385,5.2335,0,303538.0032,2918.6346,30.324,30.324,155.6354,51.8785,303352.0438,3033.5204,27.9326,0,14.7042,42.6368,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,200,13275,0.0941,97.525,0.0007,141000,140785,0,215,0,0,0,92160,92160,48840,48625,0,0,232.37907692314323,631.7472000005102,232.37907692314323,116730.00000025445,0.0,0.0,1103.9148936170213,0.1183,2.5685,7.1896,0,606936.2102,2975.1775,75.0038,75.0038,157.1188,52.3729,606704.0877,3033.5204,60.7812,0,25.1614,85.9426,0,0,0,0,0,-1.0,[],[]
EDGE_AND_CLOUD,TRADE_OFF,300,19912.5,0.0941,577.1875,0.0027,211500,210923,0,577,0,0,0,138506,138506,72994,72417,0,0,373.5923692313464,915.0899200021769,373.5923692313464,175094.99999952555,0.0,0.0,1103.5375886524823,0.1243,3.7703,11.3346,0,910326.4891,2994.495,110.0956,110.0956,160.262,53.4207,910056.1315,3033.5204,88.0005,0,40.4914,128.4919,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,100,2145,0.1083,0.05,0,70500,19800,50700,0,0,0,0,0,0,19800,19800,0,0,108.14769230763905,0.0,108.14769230763905,17574.000000003794,0.0,0.0,1300.0,0.1133,0,3.9286,0,303493.6163,2918.2078,0,0,154.6458,51.5486,303338.9705,3033.3897,0,0,11.7017,11.7017,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,200,2782.5,0.0627,22.825,0.0005,141000,44379,96600,21,0,0,0,0,0,44400,44379,0,0,194.9169230769257,0.0,194.9169230769257,31674.00000000856,0.0,0.0,1300.0,0.0749,0,5.0962,0,606832.3229,2974.6682,0,0,155.5313,51.8438,606676.7917,3033.384,0,0,21.1252,21.1252,0,0,0,0,0,-1.0,[],[]
EDGE_ONLY,TRADE_OFF,300,7702.5,0.1074,611.2625,0.0085,211500,71164,139800,536,0,0,0,0,0,71700,71164,0,0,419.46461538525097,0.0,419.46461538525097,68162.9999999677,0.0,0.0,1300.0,0.1392,0,14.1071,0,910184.1537,2994.0268,0,0,162.3646,54.1215,910021.7891,3033.406,0,0,45.462,45.462,0,0,0,0,0,-1.0,[],[]
